4LFTX,Лучший (4-слойный) индекс поднятия над поверхностью (К)
ABSV_mb_700,Абсолютная завихренность на 700mb (1/сек)
ABSV_mb_750,Абсолютная завихренность на 750mb (1/сек)
ABSV_mb_800,Абсолютная завихренность на 800mb (1/сек)
ABSV_mb_850,Абсолютная завихренность на 850mb (1/сек)
ABSV_mb_900,Абсолютная завихренность на 900mb (1/сек)
ABSV_mb_925,Абсолютная завихренность на 925mb (1/сек)
ABSV_mb_950,Абсолютная завихренность на 950mb (1/сек)
ABSV_mb_975,Абсолютная завихренность на 975mb (1/сек)
ABSV_mb_1000,Абсолютная завихренность на 1000mb (1/сек)
APTMP,Кажущаяся температура (К)
CAPE_mb_u180,Конвективная доступная потенциальная энергия 180-0mb над землёй (Дж/кг)
CAPE_mb_u255,Конвективная доступная потенциальная энергия 255-0mb над землёй (Дж/кг)
CAPE_surf,Конвективная доступная потенциальная энергия на поверхности (Дж/кг)
CIN_mb_u180,Конвективное торможение 180-0mb над землёй (Дж/кг)
CIN_mb_u255,Конвективное торможение 255-0mb над землёй (Дж/кг)
CIN_surf,Конвективное торможение на поверхности (Дж/кг)
CLMR_mb_700,
CLMR_mb_750,
CLMR_mb_800,
CLMR_mb_900,
CLMR_mb_925,
CLMR_mb_950,
CPOFP,Процент замерзших осадков (%)
CWAT,Облачная вода (кг/м^2)
DPT,Температура точки росы (К)
FLDCP,Полевая емкость (доля)
GUST,Скорость ветра (м/с)
HGT_mb_700,Геопотенциальная высота на 700mb (гал/мин)
HGT_mb_750,Геопотенциальная высота на 750mb (гал/мин)
HGT_mb_800,Геопотенциальная высота на 800mb (гал/мин)
HGT_mb_850,Геопотенциальная высота на 850mb (гал/мин)
HGT_mb_900,Геопотенциальная высота на 900mb (гал/мин)
HGT_mb_925,Геопотенциальная высота на 925mb (гал/мин)
HGT_mb_950,Геопотенциальная высота на 950mb (гал/мин)
HGT_mb_975,Геопотенциальная высота на 975mb (гал/мин)
HGT_mb_1000,Геопотенциальная высота на 1000mb (гал/мин)
HGT_freeze_htl,Геопотенциальная высота на наивысшем уровне замерзания тропосферы (гал/мин)
HGT_max_wind,Геопотенциальная высота при макс. ветре (гал/мин)
HGT_pv_p2,Геопотенциальная высота при PV=2e-06(км^2/кг/сек) поверхность (гал/мин)
HGT_surf,Геопотенциальная высота на поверхности (гал/мин)
HGT_t0,"Геопотенциальная высота, изотерма (гал/мин)"
HGT_tropo,Геопотенциальная высота в тропопаузе (гал/мин)
HINDEX,Индекс Хейнса (числовой)
