Date;Березовка;Ветлужанка;Кировский;Кубеково;Покровка;Свердловский;Северный;Солнечный;Черемушки;Mean
2019-01-01;764.0;758.0;;765.0;752.0;;759.0;745.0;762.0;755.2
2019-01-02;764.0;759.0;;765.0;752.0;;759.0;746.0;763.0;755.8
2019-01-03;766.0;760.0;;766.0;754.0;;761.0;747.0;764.0;757.2
2019-01-04;764.0;759.0;;765.0;752.0;;759.0;746.0;763.0;755.8
2019-01-05;760.0;754.0;;761.0;748.0;;755.0;741.0;759.0;751.4
2019-01-06;764.0;759.0;;765.0;753.0;;759.0;746.0;763.0;756.0
2019-01-07;756.0;750.0;;756.0;744.0;;751.0;738.0;754.0;747.4
2019-01-08;745.0;740.0;;745.0;734.0;;740.0;727.0;743.0;736.8
2019-01-09;746.0;740.0;;746.0;734.0;;741.0;728.0;744.0;737.4
2019-01-10;746.0;741.0;;745.0;735.0;;742.0;729.0;745.0;738.4
2019-01-11;757.0;752.0;;759.0;745.0;;752.0;739.0;756.0;748.8
2019-01-12;756.0;751.0;;760.33;744.0;;751.0;738.0;755.0;747.8
2019-01-13;768.0;762.0;;761.67;756.0;;763.0;749.0;767.0;759.4
2019-01-14;765.0;759.0;;763.0;753.0;;760.0;746.0;763.0;756.2
2019-01-15;755.0;749.0;;755.0;743.0;;750.0;737.0;753.0;746.4
2019-01-16;751.0;746.0;;752.0;740.0;;746.0;733.0;749.0;742.8
2019-01-17;758.0;752.0;;758.0;746.0;;753.0;740.0;756.0;749.4
2019-01-18;762.0;757.0;;763.0;750.0;;757.0;744.0;761.0;753.8
2019-01-19;755.0;750.0;;756.0;744.0;;751.0;738.0;754.0;747.4
2019-01-20;752.0;747.0;;752.0;741.0;;747.0;734.0;750.0;743.8
2019-01-21;752.0;747.0;;752.0;741.0;;747.0;735.0;751.0;744.2
2019-01-22;754.0;749.0;;754.0;743.0;;749.0;736.0;752.0;745.8
2019-01-23;761.0;755.0;;761.0;749.0;;756.0;743.0;759.0;752.4
2019-01-24;760.0;754.0;;760.0;748.0;;755.0;741.0;758.0;751.2
2019-01-25;760.0;754.0;;760.0;748.0;;755.0;741.0;758.0;751.2
2019-01-26;759.0;754.0;;760.0;748.0;;754.0;741.0;758.0;751.0
2019-01-27;748.0;743.0;;749.0;737.0;;743.0;730.0;747.0;740.0
2019-01-28;760.0;754.0;;760.0;748.0;;755.0;741.0;756.0;750.8
2019-01-29;763.0;758.0;;764.0;751.0;;758.0;744.0;762.0;754.6
2019-01-30;754.0;748.0;;754.0;742.0;;749.0;735.0;752.0;745.2
2019-01-31;749.0;744.0;;749.0;737.0;;744.0;731.0;748.0;740.8
2019-02-01;760.0;754.0;;761.0;747.0;;755.0;741.0;759.0;751.2
2019-02-02;766.0;761.0;;767.0;754.0;;761.0;747.0;765.0;757.6
2019-02-03;761.0;755.0;;761.0;748.0;;755.0;741.0;759.0;751.6
2019-02-04;764.0;758.0;;765.0;751.0;;759.0;745.0;763.0;755.2
2019-02-05;768.0;763.0;;769.0;756.0;;763.0;749.0;767.0;759.6
2019-02-06;768.0;762.0;;769.0;755.0;;763.0;748.0;767.0;759.0
2019-02-07;770.0;765.0;;771.0;758.0;;765.0;751.0;769.0;761.6
2019-02-08;774.0;768.0;;775.0;761.0;;769.0;754.0;772.0;764.8
