Date;Березовка;Ветлужанка;Кировский;Кубеково;Покровка;Свердловский;Северный;Солнечный;Черемушки;Mean
2019-01-01;79.5;79.5;;80.3;77.0;;82.7;74.2;82.0;79.08
2019-01-02;79.1;78.7;;82.9;77.9;;83.8;78.9;82.8;80.42
2019-01-03;80.1;75.7;;82.1;72.9;;78.4;79.0;82.1;77.62
2019-01-04;77.2;78.8;;79.6;75.6;;81.4;79.4;81.5;79.34
2019-01-05;78.0;77.0;;78.1;74.2;;79.4;79.3;81.2;78.22
2019-01-06;72.4;74.4;;75.9;70.9;;74.2;76.6;72.9;73.8
2019-01-07;72.0;69.9;;75.2;67.2;;73.9;71.8;72.6;71.08
2019-01-08;54.0;56.5;;59.9;51.5;;54.8;59.9;55.6;55.66
2019-01-09;67.9;64.7;;72.6;60.2;;68.0;59.8;68.2;64.18
2019-01-10;65.4;66.5;;67.2;62.6;;65.3;70.9;68.9;66.84
2019-01-11;76.2;73.7;;75.5;70.1;;76.2;77.6;75.4;74.6
2019-01-12;75.3;76.9;;78.37;74.3;;79.8;80.7;78.6;78.06
2019-01-13;70.6;71.6;;81.23;67.8;;72.8;74.1;70.9;71.44
2019-01-14;78.7;63.7;;84.1;63.2;;70.1;65.0;74.7;67.34
2019-01-15;81.8;63.3;;83.4;64.5;;75.8;52.8;76.6;66.6
2019-01-16;76.9;58.0;;77.8;53.3;;57.8;58.4;65.9;58.68
2019-01-17;76.4;77.1;;79.5;72.5;;77.9;78.5;78.1;76.82
2019-01-18;73.1;72.8;;77.7;72.1;;75.1;75.9;74.9;74.16
2019-01-19;68.2;54.7;;69.6;50.0;;57.3;54.8;58.0;54.96
2019-01-20;50.7;48.5;;53.9;42.7;;47.0;49.7;48.5;47.28
2019-01-21;76.9;80.0;;82.2;75.5;;81.7;84.0;78.3;79.9
2019-01-22;72.6;74.1;;79.3;68.8;;75.9;73.5;73.9;73.24
2019-01-23;74.4;79.3;;77.7;75.2;;78.9;77.8;78.2;77.88
2019-01-24;79.3;85.1;;83.7;80.2;;83.7;78.5;86.2;82.74
2019-01-25;83.2;81.0;;84.3;79.4;;86.8;74.8;83.9;81.18
2019-01-26;60.9;61.4;;67.1;58.3;;61.7;64.6;63.0;61.8
2019-01-27;53.4;55.9;;60.4;51.8;;57.7;59.2;59.6;56.84
2019-01-28;60.9;63.5;;61.1;59.5;;60.3;65.2;60.8;61.86
2019-01-29;63.4;69.7;;67.9;64.5;;68.0;72.4;64.3;67.78
2019-01-30;44.9;49.7;;51.0;44.0;;47.8;51.7;47.0;48.04
2019-01-31;72.8;71.9;;75.5;67.8;;71.6;74.5;73.5;71.86
2019-02-01;73.1;68.0;;64.6;63.6;;65.2;69.6;71.1;67.5
2019-02-02;69.9;67.6;;65.5;64.5;;66.8;70.6;68.8;67.66
2019-02-03;74.5;72.3;;68.6;66.8;;69.9;72.4;73.8;71.04
2019-02-04;73.2;70.0;;65.3;65.5;;69.3;71.2;73.1;69.82
2019-02-05;72.8;71.7;;67.6;67.0;;71.5;71.9;73.0;71.02
2019-02-06;71.8;71.6;;66.9;67.1;;70.6;72.8;70.5;70.52
2019-02-07;73.2;72.2;;67.7;68.3;;72.7;74.0;72.2;71.88
2019-02-08;71.6;72.0;;70.2;69.7;;74.6;75.4;73.4;73.02
2019-02-09;72.3;72.9;;72.1;70.7;;75.9;75.8;74.4;73.94
2019-02-10;70.4;74.2;;72.6;69.2;;74.7;74.6;71.5;72.84
2019-02-11;75.8;74.1;;74.4;70.1;;78.6;75.4;73.7;74.38
2019-02-12;73.8;74.6;;76.0;73.3;;79.4;69.9;75.7;74.58
2019-02-13;76.9;72.0;;79.7;65.7;;69.2;70.5;77.2;70.92
2019-02-14;74.2;71.7;;77.3;68.1;;71.0;69.8;73.2;70.76
2019-02-15;74.7;72.8;;80.4;70.5;;74.8;71.5;77.7;73.46
2019-02-16;57.2;51.9;;65.2;50.5;;54.5;52.5;59.6;53.8
2019-02-17;51.4;53.7;;59.3;46.8;;50.5;54.7;53.3;51.8
2019-02-18;51.9;38.7;;56.2;34.5;;44.4;39.3;48.6;41.1
2019-02-19;49.3;49.3;;55.2;43.6;;47.5;50.2;48.9;47.9
2019-02-20;60.4;60.0;;66.5;53.5;49.3;63.0;53.9;61.7;56.9
2019-02-21;67.8;62.1;55.1;71.0;58.4;61.5;66.6;54.2;67.2;60.73
2019-02-22;61.2;62.2;56.1;65.1;58.5;55.9;62.0;64.9;61.8;60.2
2019-02-23;59.3;61.2;54.1;62.1;56.8;53.9;59.5;63.6;59.6;58.39
2019-02-24;51.1;50.2;47.4;57.7;46.2;45.9;50.6;53.3;51.2;49.26
2019-02-25;46.2;47.1;41.7;51.2;41.3;40.3;46.5;46.8;47.9;44.51
2019-02-26;63.1;64.9;59.5;68.1;58.8;57.8;64.1;59.8;63.7;61.23
2019-02-27;58.8;61.6;61.8;66.1;57.4;58.9;63.4;59.9;63.9;60.99
2019-02-28;61.5;63.6;56.4;65.7;56.5;56.6;61.4;62.9;66.8;60.6
2019-03-01;72.8;74.6;70.0;74.6;67.4;69.6;70.5;70.7;72.3;70.73
2019-03-02;72.2;71.8;68.1;73.6;65.7;67.4;72.7;72.2;71.8;69.96
2019-03-03;80.3;81.0;79.3;81.1;74.4;79.0;81.1;79.8;81.3;79.41
