Date;Академгородок;Ветлужанка;Дрокино;Кировский;КрАЗ;Ленина, 41;Минино;Николаевка;Овинный-Таймыр;Партизана, 3г;Песчанка;Покровка;Свердловский;Светлый;Солонцы;Спутник;Телевизорная, 1/31;Удачный;Шахтеров, 25;о. Молокова;о. Татышев;Mean
2019-01-01;55.4;62.8;58.2;;;60.6;61.4;63.0;58.7;;69.4;68.1;;70.1;;;;71.9;;;;63.47500000000001
2019-01-02;59.9;64.2;62.4;;;65.0;65.4;62.1;62.8;;70.7;67.1;;63.5;;;;69.9;;;;64.95
2019-01-03;58.4;64.3;64.1;;;61.9;65.1;59.4;62.9;;69.0;66.1;;65.9;;;;66.6;;;;63.900000000000006
2019-01-04;58.3;64.0;57.9;;;62.6;61.6;59.3;59.1;;68.6;68.3;;64.4;;;;66.9;;;;62.75
2019-01-05;58.0;64.2;57.5;;;58.6;60.4;62.0;56.5;;65.8;64.4;;61.8;;;;69.0;;;;62.125
2019-01-06;56.4;64.6;63.5;;;61.0;65.7;60.3;63.1;;68.5;65.1;;66.0;;;;67.0;;;;64.125
2019-01-07;54.7;61.1;64.6;;;60.4;65.3;59.9;61.0;;66.0;61.6;;64.3;;;;64.1;;;;62.0
2019-01-08;44.2;49.9;56.5;;;47.6;55.6;47.7;50.3;;55.0;49.5;;54.7;;;;49.6;;;;50.725
2019-01-09;47.6;56.2;57.9;;;55.3;57.1;52.2;54.4;;63.8;57.0;;58.1;;;;60.5;;;;56.64999999999999
2019-01-10;52.9;59.1;63.8;;;55.6;61.6;54.8;58.8;;60.0;60.0;;63.1;;;;58.2;;;;58.175
2019-01-11;52.3;62.9;60.0;;;56.5;58.7;56.4;60.2;;63.3;64.5;;62.7;;;;58.4;;;;60.699999999999996
2019-01-12;57.9;64.5;61.3;;;61.7;60.0;60.0;61.5;;67.5;67.8;;68.4;;;;68.2;;;;63.375
2019-01-13;52.3;61.1;56.3;;;57.0;56.7;55.2;54.9;;63.1;60.7;;60.4;;;;61.0;;;;58.574999999999996
2019-01-14;48.0;55.4;58.1;;;58.0;56.9;57.1;53.5;;71.8;59.4;;60.6;;;44.8;62.6;;;;56.519999999999996
2019-01-15;44.5;55.4;58.9;;;61.1;55.8;56.8;47.8;;71.1;57.8;;51.1;;;55.1;67.4;;;;57.239999999999995
2019-01-16;46.4;51.4;55.7;;;51.5;55.0;49.8;51.1;;68.7;52.1;;52.9;;;48.2;63.5;;;;53.839999999999996
2019-01-17;59.8;68.1;66.0;;;61.9;65.5;61.6;66.6;;68.4;68.3;;68.7;;;59.6;67.8;;;;64.85999999999999
2019-01-18;55.1;63.3;65.6;;;61.3;64.6;59.0;61.6;;64.6;64.3;;63.8;;;57.5;65.7;;;;61.2
