Date;Березовка;Черемушки;Кировский;Кубеково;Покровка;Северный;Солнечный;Свердловский;Ветлужанка
2019-01-01;;;;147.7;88.4;;;;
2019-01-02;;;;72.19;33.99;;;;
2019-01-03;;;;51.42;9.36;;;;
2019-01-04;;;;48.01;44.34;;;;
2019-01-05;;;;106.53;62.41;;;;
2019-01-06;;;;54.12;25.36;;;;
2019-01-07;;;;46.0;13.49;;;;
2019-01-08;;;;21.52;10.79;;;;
2019-01-09;;;;43.07;15.92;;;;
2019-01-10;;;;16.18;10.92;;;;12.98
2019-01-11;;;;35.6;26.79;;;;55.41
2019-01-12;103.0;46.55;;;30.01;45.23;;;94.58
2019-01-13;183.5;32.7;;;47.38;38.26;;;56.12
2019-01-14;64.76;71.01;;;16.53;6.8;;;14.77
2019-01-15;118.05;76.26;;656.5;15.33;100.42;;;25.96
2019-01-16;58.96;30.51;;;7.03;11.25;;;8.33
2019-01-17;53.3;26.58;;41.76;16.95;25.86;;;30.74
2019-01-18;53.62;36.79;;32.1;13.34;39.36;;;15.75
2019-01-19;54.96;20.97;;57.27;6.71;22.12;;;7.37
2019-01-20;24.7;9.38;;27.68;6.88;7.23;;;9.16
2019-01-21;47.88;25.38;;31.05;31.82;29.67;;;38.4
2019-01-22;32.7;27.22;;33.21;16.56;22.81;;;35.97
2019-01-23;46.48;;;30.21;41.64;50.07;;;62.63
2019-01-24;55.88;;;101.74;60.6;85.45;;;140.89
2019-01-25;;;;137.44;35.97;109.55;;;110.48
2019-01-26;;;;37.86;9.45;13.93;;;9.05
2019-01-27;;;;18.49;12.4;12.66;;;8.9
2019-01-28;;;;29.85;11.45;12.08;;;12.45
2019-01-29;;;;15.32;5.44;6.5;;;8.07
2019-01-30;;;;10.74;3.78;2.5;;;6.63
2019-01-31;;;;13.78;23.19;;;;15.04
2019-02-01;;;;14.29;26.9;;;;15.3
2019-02-02;;;;;;;;;
2019-02-03;;;;;;;;;
2019-02-04;;;;;;;;;
2019-02-05;;;;;;;;;
2019-02-06;;;;;;;;;
2019-02-07;;;;;;;;;
2019-02-08;;;;;;;;;
2019-02-09;;;;;;;;;
2019-02-10;;;;;;;;;
2019-02-11;;;;;;;;;
2019-02-12;;;;;121.47;;;;
2019-02-13;;;;;29.68;;;;13.15
2019-02-14;;;;58.69;21.97;;;;37.05
2019-02-15;;;;71.53;15.78;;;;50.63
2019-02-16;;;;61.14;7.75;;;;9.1
2019-02-17;;;;31.85;7.93;;;;12.0
2019-02-18;;;;43.26;6.23;;;;7.64
2019-02-19;;;;16.73;7.42;;;;7.93
2019-02-20;;;;37.73;10.55;;;16.5;23.97
2019-02-21;;;33.23;44.08;11.41;;;45.18;20.01
2019-02-22;;;10.37;16.53;8.32;;;8.16;10.41
2019-02-23;;;9.54;13.37;7.52;;;7.01;8.67
2019-02-24;;;14.48;17.38;8.15;;;9.81;9.22
2019-02-25;;;12.99;20.52;10.1;;;8.82;16.78
2019-02-26;;23.38;31.76;43.48;18.18;;;11.79;44.18
2019-02-27;20.67;28.34;21.42;35.58;16.25;11.97;;12.51;15.62
2019-02-28;21.88;14.65;20.7;19.08;17.51;24.29;;13.66;17.99
2019-03-01;33.47;30.77;27.88;19.99;16.33;31.93;21.0;19.52;50.04
2019-03-02;36.95;22.67;27.39;21.58;31.7;89.96;19.34;18.84;27.62
2019-03-03;53.89;43.47;50.38;39.48;47.77;61.22;28.64;48.97;50.64
2019-03-04;40.58;33.47;47.53;45.33;23.05;44.88;22.81;24.62;44.22
2019-03-05;33.6;32.74;26.25;22.34;13.85;12.36;12.12;19.48;38.64
2019-03-06;25.75;18.52;12.73;15.3;15.84;10.89;7.05;11.77;10.24
2019-03-07;35.42;21.73;17.74;22.3;12.16;19.71;11.21;12.81;20.23
2019-03-08;14.52;11.1;11.27;20.89;9.71;14.62;10.77;10.49;11.0
2019-03-09;13.6;10.05;7.93;14.9;8.7;10.95;16.77;8.38;9.59
2019-03-10;20.64;9.3;6.56;17.92;7.95;9.77;7.52;7.36;8.66
2019-03-11;23.12;17.34;10.79;17.19;7.25;15.4;5.36;6.3;10.48
2019-03-12;16.82;12.84;10.86;20.74;10.07;13.07;10.81;11.49;12.26
2019-03-13;22.95;11.49;10.33;22.19;6.81;10.95;8.53;7.6;9.44
2019-03-14;11.49;8.67;9.01;18.52;7.78;10.53;7.05;8.85;9.74
2019-03-15;27.99;20.73;21.95;23.12;10.08;33.92;9.66;11.67;20.0
2019-03-16;22.38;24.15;31.74;26.75;8.73;28.63;9.74;12.36;23.21
2019-03-17;13.05;11.25;7.88;10.64;10.07;10.49;7.89;8.49;10.88
2019-03-18;12.53;10.72;7.34;8.89;9.6;8.23;6.36;7.45;9.48
2019-03-19;15.49;10.77;7.86;14.42;7.75;11.51;6.92;8.57;9.47
2019-03-20;15.7;12.29;8.74;14.71;9.05;13.81;7.6;9.38;11.34
2019-03-21;23.08;14.86;13.84;18.49;10.4;20.75;10.07;10.82;16.81
2019-03-22;22.79;19.03;23.53;22.55;9.6;29.79;11.82;10.84;21.85
2019-03-23;24.66;15.67;12.52;19.32;13.3;14.37;11.23;13.62;13.88
2019-03-24;32.95;29.4;26.64;22.99;30.99;27.14;16.23;20.6;26.64
2019-03-25;23.99;17.81;14.67;13.49;21.27;14.15;10.37;15.79;16.85
2019-03-26;33.03;19.73;21.47;12.34;21.78;30.75;12.67;18.56;24.32
2019-03-27;27.23;17.6;17.1;14.92;21.29;33.23;19.64;17.19;35.66
2019-03-28;18.85;15.22;22.0;15.36;15.37;24.36;12.52;12.16;26.55
2019-03-29;17.44;16.41;17.21;14.38;19.36;21.52;9.1;16.33;18.23
2019-03-30;14.37;12.51;18.15;13.95;19.63;18.67;14.93;23.93;26.7
2019-03-31;18.97;13.45;;12.29;15.48;13.93;7.51;;10.56
2019-04-01;28.96;18.32;;14.34;10.49;23.3;10.03;;
2019-04-02;16.29;17.23;;17.36;7.77;19.59;8.59;;11.62
2019-04-03;12.19;8.21;;5.68;5.62;6.71;4.12;;7.78
2019-04-04;24.79;15.22;17.1;7.07;25.51;15.92;5.68;12.56;20.25
2019-04-05;18.75;15.3;25.7;16.47;25.08;25.27;18.89;15.27;31.41
2019-04-06;27.11;21.96;40.04;14.88;34.81;28.84;8.88;23.14;31.32
2019-04-07;16.6;11.81;14.63;15.48;17.45;20.22;7.85;9.08;23.32
2019-04-08;17.14;12.96;8.0;7.75;7.49;8.38;5.58;7.16;9.34
2019-04-09;27.14;21.67;19.07;20.55;9.9;21.75;8.05;9.7;19.67
2019-04-10;36.38;15.34;12.29;39.96;14.34;19.63;7.9;9.89;27.07
2019-04-11;11.63;9.59;4.64;;5.3;9.77;4.59;5.96;6.99
2019-04-12;10.74;9.01;6.79;;8.9;8.66;7.63;8.74;9.97
2019-04-13;28.05;24.59;25.99;;25.01;24.22;22.0;26.05;22.67
2019-04-14;8.1;8.23;6.99;;9.4;8.11;5.22;8.03;9.74
2019-04-15;13.26;8.53;7.47;10.7;14.26;8.97;6.88;7.74;10.84
2019-04-16;17.01;17.97;19.44;13.55;22.11;15.89;7.67;16.49;15.31
2019-04-17;20.03;18.34;20.07;20.62;9.18;24.48;14.25;13.09;27.06
2019-04-18;9.96;8.55;6.45;17.4;7.41;10.64;9.68;;8.16
2019-04-19;17.36;8.95;4.51;9.88;6.16;7.07;8.56;;7.74
2019-04-20;25.15;18.6;15.59;19.81;11.08;21.34;10.6;;17.44
2019-04-21;16.53;13.79;7.79;17.77;11.15;16.07;8.18;;16.53
2019-04-22;13.6;9.0;6.7;8.95;6.33;8.68;5.37;;10.07
2019-04-23;22.08;18.32;14.47;24.51;15.33;22.56;10.16;;37.1
2019-04-24;24.41;22.51;20.32;19.89;16.19;29.41;22.7;;33.67
2019-04-25;26.18;29.97;27.16;32.96;18.42;27.6;18.52;;32.12
2019-04-26;14.47;11.79;10.81;18.23;9.14;12.3;9.27;;11.64
2019-04-27;16.93;9.52;7.51;10.45;9.1;7.99;5.3;;9.25
2019-04-28;17.11;11.14;8.15;12.99;9.86;10.47;8.67;;14.04
2019-04-29;18.63;16.25;17.27;11.05;19.3;16.84;11.93;;20.48
2019-04-30;11.03;8.27;9.78;18.19;8.56;11.1;7.68;;9.6
2019-05-01;9.1;13.85;8.33;11.14;7.45;12.03;7.16;;9.1
2019-05-02;10.84;9.58;7.84;12.19;7.73;12.82;6.51;;12.37
2019-05-03;20.56;16.27;18.88;19.12;9.27;23.38;14.85;;29.38
2019-05-04;28.04;22.42;20.55;23.58;10.97;30.11;16.92;;36.47
2019-05-05;23.32;18.34;16.73;41.19;14.59;31.29;15.77;;33.81
2019-05-06;25.38;21.22;18.47;40.87;19.03;26.56;22.16;;26.85
2019-05-07;25.07;18.92;20.25;23.66;21.41;20.48;14.04;;18.11
2019-05-08;24.81;19.81;20.42;31.34;21.22;26.05;24.92;;23.05
2019-05-09;16.56;6.27;3.77;7.93;7.89;7.93;5.53;;8.52
2019-05-10;15.48;12.55;8.14;14.08;11.08;11.92;8.34;;10.89
2019-05-11;22.79;18.63;16.68;22.88;17.38;21.45;18.26;;17.79
2019-05-12;10.56;9.08;8.22;10.52;8.63;9.99;6.45;;11.84
2019-05-13;14.32;7.71;;5.9;7.84;7.37;4.51;;8.81
2019-05-14;17.32;12.16;;11.32;9.92;13.1;8.86;;15.07
2019-05-15;17.73;16.88;;23.56;19.77;23.21;11.48;;19.77
2019-05-16;17.67;8.56;;10.11;10.01;7.9;6.07;;11.73
2019-05-17;18.41;15.37;;20.63;18.42;15.58;9.56;;19.9
2019-05-18;16.25;13.99;;30.81;14.51;19.53;10.9;;15.86
2019-05-19;26.92;10.89;;18.93;9.37;18.36;12.82;;24.73
2019-05-20;11.27;9.38;;16.55;8.33;12.37;9.3;;8.82
2019-05-21;14.4;11.82;;13.25;7.56;11.15;7.14;;10.25
2019-05-22;11.08;7.55;;6.0;6.73;7.01;5.21;;10.19
2019-05-23;11.26;7.03;;7.42;8.32;8.47;5.23;;10.49
2019-05-24;10.21;6.11;;9.96;4.9;8.3;5.77;;8.33
2019-05-25;12.16;10.38;;13.58;7.12;12.66;8.67;;11.1
2019-05-26;10.52;11.49;;12.15;12.55;12.42;14.89;;15.21
2019-05-27;8.04;6.74;;4.81;7.22;7.07;5.9;;6.72
2019-05-28;12.34;9.48;;12.53;6.47;9.82;8.88;13.67;12.98
2019-05-29;15.63;12.45;;15.95;10.89;13.64;11.07;;9.86
2019-05-30;16.22;15.52;;15.85;10.51;15.27;10.62;;9.49
2019-05-31;9.88;6.05;;8.95;7.66;8.16;10.56;;7.32
2019-06-01;7.85;6.25;;8.62;8.14;6.56;8.37;;7.53
2019-06-02;17.34;8.22;;14.31;12.84;8.26;7.64;;11.84
2019-06-03;13.1;7.53;;5.76;6.41;13.3;6.77;;7.32
2019-06-04;12.44;12.85;;10.77;10.56;12.33;10.82;;16.26
2019-06-05;17.95;14.53;;15.68;14.63;31.73;14.9;;14.89
2019-06-06;16.14;16.27;;18.11;17.4;20.96;27.14;;18.67
2019-06-07;21.44;18.11;;15.1;17.37;17.04;21.62;;17.11
2019-06-08;15.56;9.86;;10.29;6.93;9.47;9.0;;9.73
2019-06-09;12.55;13.49;;;7.12;11.62;;;13.27
2019-06-10;10.95;8.38;;8.14;7.52;8.84;;11.82;9.04
2019-06-11;11.93;10.16;;9.62;8.86;10.52;15.32;8.0;9.01
2019-06-12;10.56;29.42;;12.19;9.53;8.97;9.55;8.14;8.88
2019-06-13;14.45;30.49;;12.51;8.92;12.21;10.53;9.07;11.97
2019-06-14;34.32;25.08;;13.14;9.23;11.77;9.67;;10.0
2019-06-15;18.86;23.26;;7.76;11.37;10.92;12.01;;19.49
2019-06-16;15.15;12.93;;;12.04;12.59;13.11;;22.99
2019-06-17;11.78;8.59;;;6.47;9.95;5.47;8.33;9.27
2019-06-18;16.14;8.48;;;16.0;16.89;9.25;9.58;9.33
2019-06-19;12.55;10.05;;;33.32;15.07;9.53;12.34;10.18
2019-06-20;21.42;17.97;;;10.42;16.47;11.9;10.63;14.1
2019-06-21;14.21;15.32;;;62.96;14.74;16.38;17.67;15.33
2019-06-22;16.85;25.6;;;69.7;17.05;21.49;18.0;
2019-06-23;15.28;19.78;;;16.58;16.27;14.07;14.89;
2019-06-24;10.41;7.9;;;8.97;8.79;6.42;7.29;
2019-06-25;8.34;6.49;8.25;;5.61;7.21;5.74;6.88;
2019-06-26;11.66;10.86;9.79;;8.63;10.03;7.04;10.0;
2019-06-27;19.59;18.0;17.82;;13.42;14.45;12.71;14.23;
2019-06-28;25.73;25.04;27.21;;27.14;27.74;36.77;23.3;
2019-06-29;19.34;19.79;22.6;;24.59;23.77;24.66;20.05;
2019-06-30;12.92;14.74;16.12;;17.22;13.53;12.29;11.78;
2019-07-01;6.78;5.22;6.48;;3.59;4.93;4.16;6.04;
2019-07-02;7.99;6.0;7.56;;5.92;6.55;5.27;6.75;
2019-07-03;10.34;9.26;13.97;;6.19;7.18;7.29;7.05;
2019-07-04;25.26;22.99;27.58;;20.67;24.27;19.92;19.14;
2019-07-05;15.56;13.47;15.73;;12.84;13.85;13.34;12.77;
2019-07-06;9.78;9.7;11.33;;6.62;7.22;8.0;8.67;
2019-07-07;14.53;13.42;15.73;;13.43;13.52;12.75;12.74;
2019-07-08;11.82;11.77;11.45;;9.56;12.23;7.68;11.29;
2019-07-09;10.95;9.77;10.97;;10.94;15.07;20.89;10.42;
2019-07-10;14.12;13.45;16.11;;13.45;16.1;19.0;15.79;
2019-07-11;9.95;9.12;9.14;;8.4;8.15;5.81;10.03;
2019-07-12;9.73;10.7;9.66;;9.25;11.33;7.78;11.9;
2019-07-13;52.22;53.99;54.94;;53.95;66.07;56.67;41.73;
2019-07-14;69.23;68.9;68.84;;66.19;65.08;63.32;;
2019-07-15;58.05;53.19;57.37;;59.49;58.12;57.4;68.79;
2019-07-16;68.95;70.49;76.94;;132.75;74.45;63.36;44.3;
2019-07-17;24.18;23.38;25.66;;;26.52;22.47;26.22;
2019-07-18;16.81;15.51;19.82;;;18.96;16.38;17.56;
2019-07-19;19.05;17.63;25.4;;;17.25;14.23;18.15;
2019-07-20;59.08;62.07;64.55;;;68.62;65.59;52.82;
2019-07-21;58.81;55.88;60.7;;;61.71;57.14;;
2019-07-22;43.58;41.95;47.47;;;45.81;47.86;57.38;
2019-07-23;69.92;66.37;72.62;;;69.04;65.22;65.07;
2019-07-24;81.12;79.36;81.64;;;78.08;72.44;83.66;
2019-07-25;71.73;69.33;72.72;;;71.92;68.41;84.59;
2019-07-26;54.96;54.64;55.4;;;52.99;47.29;55.13;
2019-07-27;53.05;49.4;51.21;;;53.88;51.3;;
2019-07-28;29.42;26.01;30.42;;;26.19;21.05;;
2019-07-29;20.77;21.18;25.01;;;24.73;27.4;22.17;
2019-07-30;16.89;16.81;20.32;;;20.36;18.74;21.37;
2019-07-31;16.79;16.7;19.66;;;18.99;16.19;15.78;
2019-08-01;13.97;13.49;14.4;;;14.08;10.82;14.14;
2019-08-02;12.85;14.29;18.01;;;17.25;14.14;14.14;
2019-08-03;26.27;24.44;26.77;;;26.21;29.22;18.05;
2019-08-04;24.66;20.89;24.67;;;21.04;20.64;17.85;
2019-08-05;19.6;18.15;25.44;;;21.99;22.9;19.71;
2019-08-06;11.4;9.41;10.78;;;9.96;8.7;10.74;
2019-08-07;26.04;28.19;37.52;;;27.99;24.92;31.71;
2019-08-08;29.19;25.38;29.34;;;27.52;24.41;30.35;
2019-08-09;16.47;17.9;21.74;;;16.86;17.97;19.21;
2019-08-10;9.14;8.74;7.68;;;8.62;7.08;7.52;
2019-08-11;8.9;8.73;9.88;;;8.12;5.44;7.93;
2019-08-12;7.95;6.23;7.03;;;6.97;4.53;6.56;
2019-08-13;6.79;6.75;6.05;;;6.47;4.63;5.82;
2019-08-14;6.7;7.1;9.11;;;10.08;6.41;11.82;
2019-08-15;8.47;10.1;11.05;;;9.15;8.62;9.97;
2019-08-16;10.99;10.67;12.89;;;15.08;11.25;13.93;
2019-08-17;60.45;57.99;62.62;;;65.12;59.38;56.55;
2019-08-18;40.82;35.48;42.14;;;35.79;30.04;;
2019-08-19;29.33;26.26;29.44;;;31.58;27.36;32.75;
