Date;Березовка;Черемушки;Кировский;Кубеково;Покровка;Северный;Солнечный;Свердловский;Ветлужанка;Mean
2019-01-01;;;;147.7;88.4;;;;;88.4
2019-01-02;;;;72.19;33.99;;;;;33.99
2019-01-03;;;;51.42;9.36;;;;;9.36
2019-01-04;;;;48.01;44.34;;;;;44.34
2019-01-05;;;;106.53;62.41;;;;;62.41
2019-01-06;;;;54.12;25.36;;;;;25.36
2019-01-07;;;;46.0;13.49;;;;;13.49
2019-01-08;;;;21.52;10.79;;;;;10.79
2019-01-09;;;;43.07;15.92;;;;;15.92
2019-01-10;;;;16.18;10.92;;;;12.98;11.95
2019-01-11;;;;35.6;26.79;;;;55.41;41.1
2019-01-12;103.0;46.55;;190.82;30.01;45.23;;;94.58;54.09
2019-01-13;183.5;32.7;;346.05;47.38;38.26;;;56.12;43.62
2019-01-14;64.76;71.01;;501.28;16.53;6.8;;;14.77;27.28
2019-01-15;118.05;76.26;;656.5;15.33;100.42;;;25.96;54.49
2019-01-16;58.96;30.51;;349.13;7.03;11.25;;;8.33;14.28
2019-01-17;53.3;26.58;;41.76;16.95;25.86;;;30.74;25.03
2019-01-18;53.62;36.79;;32.1;13.34;39.36;;;15.75;26.31
2019-01-19;54.96;20.97;;57.27;6.71;22.12;;;7.37;14.29
2019-01-20;24.7;9.38;;27.68;6.88;7.23;;;9.16;8.16
2019-01-21;47.88;25.38;;31.05;31.82;29.67;;;38.4;31.32
2019-01-22;32.7;27.22;;33.21;16.56;22.81;;;35.97;25.64
2019-01-23;46.48;27.11;;30.21;41.64;50.07;;;62.63;45.36
2019-01-24;55.88;27.0;;101.74;60.6;85.45;;;140.89;78.48
2019-01-25;54.84;26.89;;137.44;35.97;109.55;;;110.48;70.72
2019-01-26;53.81;26.78;;37.86;9.45;13.93;;;9.05;14.8
2019-01-27;52.77;26.67;;18.49;12.4;12.66;;;8.9;15.16
2019-01-28;51.74;26.56;;29.85;11.45;12.08;;;12.45;15.63
2019-01-29;50.7;26.45;;15.32;5.44;6.5;;;8.07;11.62
2019-01-30;49.67;26.34;;10.74;3.78;2.5;;;6.63;9.81
2019-01-31;48.63;26.23;;13.78;23.19;2.84;;;15.04;16.83
2019-02-01;47.6;26.12;;14.29;26.9;3.18;;;15.3;17.88
2019-02-02;46.56;26.01;;17.71;35.5;3.51;;;15.12;20.04
2019-02-03;45.52;25.9;;21.12;44.09;3.85;;;14.94;22.2
2019-02-04;44.49;25.79;;24.54;52.69;4.19;;;14.76;24.36
2019-02-05;43.45;25.68;;27.95;61.29;4.53;;;14.58;26.52
2019-02-06;42.42;25.57;;31.37;69.89;4.87;;;14.4;28.68
2019-02-07;41.38;25.46;;34.78;78.48;5.21;;;14.23;30.84
2019-02-08;40.35;25.35;;38.2;87.08;5.54;;;14.05;33.01
2019-02-09;39.31;25.25;;41.61;95.68;5.88;;;13.87;35.17
2019-02-10;38.28;25.14;;45.03;104.28;6.22;;;13.69;37.33
2019-02-11;37.24;25.03;;48.44;112.87;6.56;;;13.51;39.49
2019-02-12;36.2;24.92;;51.86;121.47;6.9;;;13.33;41.66
2019-02-13;35.17;24.81;;55.27;29.68;7.24;;;13.15;18.72
