Date;Академгородок;Дрокино;Кировский;КрАЗ;Ленина, 41;Минино;о. Молокова;Николаевка;Овинный-Таймыр;Партизана, 3г;Песчанка;Покровка;Шахтеров, 25;Солонцы;Спутник;Светлый;Свердловский;о. Татышев;Телевизорная, 1/31;Удачный;Ветлужанка;Mean;Караульная;Качинская, 56А;Посадный;Руслов
2019-01-01;5.09;252.51;;;234.87;197.01;;281.51;212.19;;113.59;106.53;;;;89.31;;;;7.89;276.29;220.9;;;;
2019-01-02;4.49;148.05;;;69.94;83.78;;139.63;81.81;;63.92;43.96;;;;46.61;;;;10.69;128.53;103.47;;;;
2019-01-03;3.85;97.78;;;6.82;53.16;;30.27;12.28;;28.45;11.01;;;;16.58;;;;7.12;12.32;20.83;;;;
2019-01-04;8.8;145.74;;;118.58;121.09;;160.94;118.75;;65.59;55.24;;;;76.18;;;;14.14;190.32;133.9;;;;
2019-01-05;7.83;144.27;;;129.13;115.09;;135.39;119.38;;93.58;75.82;;;;100.02;;;;11.13;129.95;119.58;;;;
2019-01-06;14.68;72.61;;;21.37;63.47;;50.13;33.74;;41.82;33.14;;;;24.41;;;;16.47;20.67;36.59;;;;
2019-01-07;4.54;38.89;;;16.68;22.42;;24.99;16.37;;36.21;14.99;;;;16.71;;;;6.89;12.59;22.54;;;;
2019-01-08;4.88;19.26;;;7.99;28.42;;23.39;10.66;;14.07;12.85;;;;7.13;;;;7.41;7.31;13.86;;;;
2019-01-09;6.03;57.41;;;11.55;62.56;;38.85;38.69;;40.73;16.36;;;;21.71;;;;8.32;30.32;37.15;;;;
2019-01-10;4.88;12.6;;;8.0;20.78;;16.06;6.43;;15.88;14.25;;;;6.55;;;;6.3;7.74;11.53;;;;
2019-01-11;9.48;98.13;;;26.45;69.27;;57.87;38.3;;44.84;34.67;;;;32.22;;;;9.2;57.09;49.52;;;;
2019-01-12;9.93;101.53;;;44.32;100.25;;97.52;82.06;;55.97;37.48;;;;56.67;;;;13.74;96.78;83.08;;;;
2019-01-13;11.83;104.14;;;27.23;100.02;;75.6;91.13;;40.82;47.77;;;;34.68;;;;15.53;53.06;65.15;;;;
2019-01-14;3.22;94.7;;;26.93;34.59;;37.35;22.99;;74.0;18.79;;;;21.45;;;3.02;8.54;8.17;29.11;;;;
2019-01-15;7.48;95.73;;;20.99;38.83;;46.94;38.69;;127.26;17.27;;;;42.68;;;41.95;10.75;23.52;55.67;;;;
2019-01-16;3.48;25.36;;;6.55;43.56;;25.27;5.48;;48.64;7.85;;;;9.79;;;5.06;8.5;4.26;17.74;;;;
2019-01-17;9.96;114.92;;;35.13;75.57;;44.57;21.22;;34.09;22.32;;;;19.57;;;51.62;11.52;28.13;35.93;;;;
2019-01-18;9.47;72.05;;;18.64;45.33;;37.64;16.53;;41.65;23.74;;;;25.73;;;22.02;11.8;11.37;25.84;;;;
2019-01-19;1.87;19.83;;;6.03;13.63;;21.5;3.72;;44.83;6.05;;;;4.52;;;3.04;5.95;2.1;15.04;;;;
2019-01-20;3.31;28.12;;;4.52;21.68;;22.46;4.83;;13.99;7.74;;;;4.48;;;4.28;5.45;3.39;9.79;;;;
2019-01-21;13.31;46.23;;;24.98;51.77;;67.62;31.53;;29.35;38.95;;;;23.63;;;52.19;12.26;42.86;44.71;;;;
2019-01-22;6.97;45.5;;;12.58;50.61;;28.66;28.22;;28.55;20.55;;;15.66;18.21;;;32.88;8.7;32.53;30.17;;;;
2019-01-23;18.15;83.61;;;37.4;95.26;;76.8;52.22;;52.55;48.65;;;43.72;40.18;;;83.4;19.32;68.79;66.75;;;;
2019-01-24;7.89;120.21;;;139.02;119.83;;159.04;113.07;;93.82;77.5;;;94.45;74.34;;;152.06;11.97;160.48;135.69;;;;
2019-01-25;6.06;148.13;;;61.97;77.55;;118.09;109.23;;102.83;38.44;;;128.85;69.07;;;120.39;13.49;113.08;112.72;;;;
2019-01-26;4.52;27.26;;;6.35;30.6;;36.96;13.17;;17.1;12.81;;;9.05;12.97;;;10.31;6.82;5.6;16.63;;;;
2019-01-27;3.3;10.51;;;12.45;15.9;;23.1;5.67;;8.34;14.68;;;7.29;7.15;;;11.15;4.88;4.75;10.6;;;;
2019-01-28;7.93;11.55;;;8.53;28.19;;19.0;10.14;;12.13;15.5;;;8.18;9.13;;;9.29;9.01;8.92;11.9;;;;
2019-01-29;3.71;10.52;;;3.44;15.21;;21.51;3.83;;6.45;9.08;;;3.63;4.13;;;4.25;3.54;3.72;7.95;;;;
2019-01-30;1.33;6.89;;;1.74;17.34;;13.32;2.7;;7.45;3.27;;;1.18;1.7;;;1.3;1.8;0.9;5.13;;;;
2019-01-31;4.2;25.2;;;14.3;16.08;;18.91;10.65;;40.21;35.59;;;7.29;10.31;;;15.22;5.58;14.85;19.97;;;;
2019-02-01;10.95;22.95;;;23.57;22.9;;28.54;29.75;;19.51;52.31;;;9.49;10.08;;;25.62;6.14;24.81;25.65;;;;
2019-02-02;5.44;34.73;;;7.14;49.23;;31.79;10.47;;20.96;14.31;;;6.94;13.5;;;9.48;6.12;6.35;15.81;;;;
2019-02-03;22.29;81.83;;;57.14;81.13;;66.93;64.17;;46.33;87.52;;;21.21;24.82;;;85.59;14.59;71.31;66.87;;;;
2019-02-04;34.31;85.15;;;74.04;91.85;;109.33;90.3;;46.64;103.29;;;40.71;37.43;;;127.73;22.01;116.76;98.15;;;;
2019-02-05;64.16;110.6;;;80.97;106.81;;122.14;102.37;;48.28;110.99;;;49.49;48.19;;;143.37;40.44;116.26;106.48;;;;
2019-02-06;36.43;103.52;;;56.45;107.69;;69.29;73.03;;50.81;84.76;;;40.15;38.31;;;126.97;33.75;83.8;80.78;;;;
2019-02-07;61.2;129.83;;;127.06;126.44;;142.18;105.97;;62.79;130.45;;;61.0;53.61;;;152.67;45.19;119.52;116.63;;;;
2019-02-08;57.28;149.71;;;142.17;142.51;;190.24;141.52;;91.2;118.57;;;116.37;100.85;;;191.64;56.29;185.56;160.03;;;;
2019-02-09;78.01;194.92;;;195.33;186.79;;227.26;171.94;;83.16;140.24;;;135.03;105.07;;;215.13;66.06;213.76;182.25;;;;
2019-02-10;69.16;173.96;;;123.88;155.11;;167.06;123.59;;59.53;122.94;;;74.54;51.77;;;183.42;68.51;157.66;138.25;;;;
2019-02-11;79.39;166.69;;;160.9;148.57;;175.95;119.87;;68.43;127.44;;;105.51;78.29;;;182.66;70.29;172.56;143.89;;;;
2019-02-12;28.01;192.75;;;191.58;185.88;;239.41;205.82;;93.84;105.48;;;186.44;124.05;;;247.25;29.22;235.26;204.32;;;;
2019-02-13;7.04;102.82;;;59.63;73.71;;78.64;64.48;;80.78;33.89;;;61.8;36.6;;;87.45;11.2;75.36;77.34;;;;
2019-02-14;8.9;78.46;;;21.49;63.39;;63.95;34.95;;66.28;25.11;;;16.55;26.61;;;57.91;12.74;37.86;52.19;;;;
2019-02-15;4.96;102.96;;;12.16;47.84;;67.84;51.39;;62.81;17.7;;;37.17;30.7;;;78.52;13.01;50.87;62.29;;;;
2019-02-16;2.65;26.39;;;6.09;22.59;;34.72;12.32;;37.91;8.06;;;13.37;10.92;;;8.55;6.26;4.23;19.55;;;;
2019-02-17;6.3;32.94;;;7.76;40.94;;32.04;20.21;;23.64;10.42;;;13.46;13.67;;;11.21;7.12;8.04;19.03;;;;
2019-02-18;1.39;11.13;;;5.13;14.71;;30.03;3.03;;30.46;4.46;;;30.47;5.46;;;2.71;3.64;1.3;13.51;;;;
2019-02-19;2.37;29.03;;;5.65;31.86;;32.26;6.61;;21.44;6.26;;;8.8;8.61;;;6.1;3.32;3.02;13.89;;;;
2019-02-20;4.37;53.19;;;9.64;51.12;;45.57;16.78;;42.31;10.18;;;18.35;19.82;;;43.47;8.9;26.26;34.88;;;;
2019-02-21;4.51;61.26;;;9.64;36.65;;26.71;21.47;;46.62;11.53;;;37.13;16.89;;;27.15;8.71;17.55;27.9;;;;
2019-02-22;4.61;11.01;;;6.2;19.7;;18.29;5.03;;10.8;9.32;;;5.85;6.71;;;5.98;5.19;5.07;9.03;;;;
2019-02-23;3.04;45.55;;;4.54;21.98;;18.78;4.45;;9.39;7.65;;;4.18;5.54;;;4.42;4.54;3.6;8.13;;;;
2019-02-24;2.92;11.09;;;6.34;16.33;;16.89;5.75;;14.19;7.73;;;6.17;8.59;;;6.22;3.78;4.12;9.43;;;;
2019-02-25;4.57;29.3;;;8.11;44.95;;24.01;11.46;;16.12;10.43;;;6.56;7.95;;;19.04;5.14;16.38;17.4;;;;
2019-02-26;6.56;75.14;;;15.46;64.06;;55.23;36.11;;40.67;19.94;;;22.07;25.53;;;49.16;8.1;46.74;45.58;;;;
2019-02-27;5.39;57.62;;;11.76;28.77;;37.88;17.82;;33.65;18.45;;;17.15;14.63;;;23.39;7.82;12.66;25.08;;;;
2019-02-28;6.61;30.14;;;13.73;47.98;;28.64;13.69;;26.2;20.02;;;18.61;10.83;;;25.7;6.56;19.21;22.69;;;;
2019-03-01;8.17;67.88;;;14.36;87.31;;31.62;36.59;;26.27;17.35;;;25.39;23.73;;;54.48;9.37;54.53;40.7;;;;
2019-03-02;16.89;40.27;;;25.63;44.32;;43.77;29.12;;39.83;40.72;;;24.99;27.71;;;34.94;13.83;28.7;35.27;;;;
2019-03-03;34.05;51.29;;;46.21;50.18;;64.38;51.67;;52.3;46.64;;;47.54;32.36;;;57.54;33.82;55.0;56.18;;;;
2019-03-04;12.96;57.35;;;21.2;81.84;;45.93;40.59;;40.3;25.25;;;39.87;28.95;;;67.14;15.19;49.4;48.67;;;;
2019-03-05;5.79;50.31;;;10.51;63.33;;34.78;35.59;;27.15;14.47;;;13.93;16.94;;;44.82;5.99;40.15;36.5;;;;
2019-03-06;4.84;15.22;;;13.39;24.54;;18.43;10.72;;19.95;21.41;;;10.39;8.43;;;19.42;4.48;9.02;15.51;;;;
2019-03-07;6.31;26.2;;;9.33;40.42;;33.96;16.09;;20.79;12.68;;;10.77;15.16;;;22.01;7.18;17.46;22.06;;;;
2019-03-08;5.41;14.41;;;8.19;21.78;;29.91;7.68;;12.84;10.81;;;9.97;9.63;;;7.55;7.14;6.71;12.94;;;;
2019-03-09;3.92;8.69;;;5.66;27.74;;15.48;5.61;;8.75;7.74;;;5.2;7.21;;;5.32;5.74;4.45;7.92;;;;
2019-03-10;3.14;13.4;;;4.79;21.16;;18.9;3.96;;10.28;6.85;;;4.56;5.94;;;4.02;4.18;3.56;8.14;;;;
2019-03-11;2.68;23.36;;;5.1;26.62;;15.46;10.9;;9.07;5.39;;;5.35;6.77;;;9.69;3.72;6.36;10.3;;;;
2019-03-12;6.24;14.98;;;8.64;24.54;;17.38;7.45;;12.12;12.45;;;11.5;8.99;;;8.65;7.88;7.46;10.61;;;;
2019-03-13;3.91;13.33;;;7.25;18.35;;14.15;6.98;;18.18;9.11;;;8.12;8.96;;;6.22;7.54;4.86;10.08;;;;
2019-03-14;4.24;7.03;;;5.6;14.24;;9.86;5.97;;9.42;8.86;;;6.2;4.82;;;5.43;5.58;4.63;7.06;;;;
2019-03-15;4.6;27.25;;;8.72;35.49;;21.1;16.39;;23.97;8.91;;;9.17;15.05;;;17.01;7.4;17.33;19.16;;;;
2019-03-16;4.02;39.73;;;6.09;26.65;;19.92;27.86;;16.9;7.51;;;9.03;9.47;;;27.35;7.23;22.22;22.85;;;;
2019-03-17;4.17;18.41;;;6.99;24.46;;11.53;7.24;;13.52;12.35;;;7.75;6.67;;;5.88;4.69;5.77;8.79;;;;
2019-03-18;3.57;9.19;;;7.61;19.32;;13.26;5.26;;15.4;12.13;;;6.78;7.54;;;6.5;5.56;5.16;9.12;;;;
