Date;Николаевка;Овиный;Песчанка;Телевизорная;Ветлужанка;Солонцы
2019-01-01;281.86;212.12;113.25;34.82;275.99;
2019-01-02;141.32;82.82;64.4;13.83;130.26;
2019-01-03;29.86;11.22;28.44;44.35;11.21;
2019-01-04;160.4;118.31;64.94;21.91;190.42;
2019-01-05;136.97;120.86;94.46;2.51;131.6;
2019-01-06;50.0;32.39;41.49;4.81;19.33;
2019-01-07;25.06;16.57;36.66;69.43;12.74;
2019-01-08;23.45;10.37;14.01;14.86;7.2;
2019-01-09;39.22;39.18;41.22;105.91;30.7;
2019-01-10;15.62;6.18;15.96;152.32;7.58;
2019-01-11;54.86;37.47;44.43;98.22;54.65;
2019-01-12;98.44;83.05;56.59;14.51;98.0;
2019-01-13;75.31;89.99;40.12;6.6;53.56;
2019-01-14;37.63;23.26;73.23;9.22;8.27;
2019-01-15;47.49;39.21;126.68;3.39;23.83;
2019-01-16;24.75;5.4;48.94;1.65;4.19;
2019-01-17;44.67;21.42;34.35;16.6;28.42;
2019-01-18;37.94;16.57;41.51;27.72;11.46;
2019-01-19;21.19;3.73;45.36;13.42;2.1;
2019-01-20;22.55;4.83;14.08;92.67;3.36;
2019-01-21;67.06;30.86;28.86;138.07;40.96;
2019-01-22;28.89;28.54;28.75;138.69;32.9;
2019-01-23;75.38;51.91;51.39;129.1;66.78;
2019-01-24;158.1;113.32;93.59;155.57;159.84;
2019-01-25;119.14;110.44;103.28;196.7;114.58;
2019-01-26;36.24;13.14;17.21;210.5;5.47;
2019-01-27;23.23;5.65;8.33;176.16;4.71;
2019-01-28;18.86;10.18;12.16;193.08;8.95;
2019-01-29;21.67;3.87;6.51;257.95;3.75;
2019-01-30;13.4;2.67;7.09;42.72;0.88;
2019-01-31;18.76;10.74;40.21;73.57;14.7;
2019-02-01;28.61;29.46;19.52;62.57;24.78;
2019-02-02;31.83;10.08;20.5;8.62;6.29;
2019-02-03;66.8;64.37;47.13;11.25;71.11;
2019-02-04;108.38;89.66;47.72;2.83;116.0;
2019-02-05;122.58;102.53;46.33;13.8;116.8;
2019-02-06;67.68;72.67;51.97;42.99;83.32;
2019-02-07;141.33;105.74;62.65;20.05;119.34;
2019-02-08;188.98;141.34;91.25;5.34;185.02;
2019-02-09;226.59;172.0;81.89;4.2;213.9;
2019-02-10;166.81;123.93;59.75;6.77;157.97;
2019-02-11;174.76;119.56;69.14;30.42;171.03;
2019-02-12;238.31;204.61;94.89;42.78;233.99;
2019-02-13;79.43;65.3;79.44;18.06;76.36;
