Date;Березовка;Черемушки;Кировский;Кубеково;Покровка;Северный;Солнечный;Свердловский;Ветлужанка
2019-01-01;;;;2.66;88.4;;;;
2019-01-02;;;;3.52;33.99;;;;
2019-01-03;;;;3.86;9.36;;;;
2019-01-04;;;;3.95;44.34;;;;
2019-01-05;;;;4.15;62.41;;;;
2019-01-06;;;;4.18;25.36;;;;
2019-01-07;;;;4.19;13.49;;;;
2019-01-08;;;;4.21;10.79;;;;
2019-01-09;;;;4.21;15.92;;;;
2019-01-10;;;;4.38;10.92;;;;12.98
2019-01-11;;;;4.53;26.79;;;;55.41
2019-01-12;103.0;46.55;;4.55;30.01;45.23;;;94.58
2019-01-13;183.5;32.7;;4.66;47.38;38.26;;;56.12
2019-01-14;64.76;71.01;;4.71;16.53;6.8;;;14.77
2019-01-15;118.05;76.26;;4.74;15.33;100.42;;;25.96
2019-01-16;58.96;30.51;;4.81;7.03;11.25;;;8.33
2019-01-17;53.3;26.58;;4.82;16.95;25.86;;;30.74
2019-01-18;53.62;36.79;;4.85;13.34;39.36;;;15.75
2019-01-19;54.96;20.97;;4.89;6.71;22.12;;;7.37
2019-01-20;24.7;9.38;;4.89;6.88;7.23;;;9.16
2019-01-21;47.88;25.38;;4.92;31.82;29.67;;;38.4
2019-01-22;32.7;27.22;;4.95;16.56;22.81;;;35.97
2019-01-23;46.48;27.11;;5.03;41.64;50.07;;;62.63
2019-01-24;55.88;27.0;;5.03;60.6;85.45;;;140.89
2019-01-25;54.84;26.89;;5.04;35.97;109.55;;;110.48
2019-01-26;53.800000000000004;26.78;;5.05;9.45;13.93;;;9.05
2019-01-27;52.760000000000005;26.67;;5.11;12.4;12.66;;;8.9
2019-01-28;51.720000000000006;26.560000000000002;;5.11;11.45;12.08;;;12.45
2019-01-29;50.68000000000001;26.450000000000003;;5.15;5.44;6.5;;;8.07
2019-01-30;49.64000000000001;26.340000000000003;;5.15;3.78;2.5;;;6.63
2019-01-31;48.60000000000001;26.230000000000004;;5.16;23.19;2.84;;;15.04
2019-02-01;47.56000000000001;26.120000000000005;;5.18;26.9;3.1799999999999997;;;15.3
2019-02-02;46.52000000000001;26.010000000000005;;5.18;35.5;3.5199999999999996;;;15.120000000000001
2019-02-03;45.48000000000001;25.900000000000006;;5.26;44.1;3.8599999999999994;;;14.940000000000001
2019-02-04;44.44000000000001;25.790000000000006;;5.3;52.7;4.199999999999999;;;14.760000000000002
2019-02-05;43.40000000000001;25.680000000000007;;5.33;61.300000000000004;4.539999999999999;;;14.580000000000002
2019-02-06;42.360000000000014;25.570000000000007;;5.38;69.9;4.879999999999999;;;14.400000000000002
2019-02-07;41.320000000000014;25.460000000000008;;5.4;78.5;5.219999999999999;;;14.220000000000002
2019-02-08;40.280000000000015;25.35000000000001;;5.41;87.1;5.559999999999999;;;14.040000000000003
2019-02-09;39.240000000000016;25.24000000000001;;5.42;95.69999999999999;5.899999999999999;;;13.860000000000003
2019-02-10;38.20000000000002;25.13000000000001;;5.51;104.29999999999998;6.239999999999998;;;13.680000000000003
2019-02-11;37.16000000000002;25.02000000000001;;5.52;112.89999999999998;6.579999999999998;;;13.500000000000004
2019-02-12;36.12000000000002;24.91000000000001;;5.54;121.47;6.919999999999998;;;13.320000000000004
2019-02-13;35.08000000000002;24.80000000000001;;5.58;29.68;7.259999999999998;;;13.15
2019-02-14;34.04000000000002;24.690000000000012;;5.64;21.97;7.599999999999998;;;37.05
2019-02-15;33.00000000000002;24.580000000000013;;5.65;15.78;7.939999999999998;;;50.63
2019-02-16;31.960000000000022;24.470000000000013;;5.66;7.75;8.279999999999998;;;9.1
2019-02-17;30.920000000000023;24.360000000000014;;5.67;7.93;8.619999999999997;;;12.0
2019-02-18;29.880000000000024;24.250000000000014;;5.67;6.23;8.959999999999997;;;7.64
2019-02-19;28.840000000000025;24.140000000000015;;5.68;7.42;9.299999999999997;;;7.93
2019-02-20;27.800000000000026;24.030000000000015;;5.7;10.55;9.639999999999997;;16.5;23.97
2019-02-21;26.760000000000026;23.920000000000016;33.23;5.71;11.41;9.979999999999997;;45.18;20.01
2019-02-22;25.720000000000027;23.810000000000016;10.37;5.73;8.32;10.319999999999997;;8.16;10.41
2019-02-23;24.680000000000028;23.700000000000017;9.54;5.75;7.52;10.659999999999997;;7.01;8.67
2019-02-24;23.64000000000003;23.590000000000018;14.48;5.76;8.15;10.999999999999996;;9.81;9.22
2019-02-25;22.60000000000003;23.480000000000018;12.99;5.77;10.1;11.339999999999996;;8.82;16.78
2019-02-26;21.56000000000003;23.38;31.76;5.82;18.18;11.679999999999996;;11.79;44.18
2019-02-27;20.67;28.34;21.42;5.84;16.25;11.97;;12.51;15.62
2019-02-28;21.88;14.65;20.7;5.88;17.51;24.29;;13.66;17.99
2019-03-01;33.47;30.77;27.88;5.88;16.33;31.93;21.0;19.52;50.04
2019-03-02;36.95;22.67;27.39;5.88;31.7;89.96;19.34;18.84;27.62
2019-03-03;53.89;43.47;50.38;5.88;47.77;61.22;28.64;48.97;50.64
2019-03-04;40.58;33.47;47.53;5.89;23.05;44.88;22.81;24.62;44.22
2019-03-05;33.6;32.74;26.25;5.9;13.85;12.36;12.12;19.48;38.64
2019-03-06;25.75;18.52;12.73;5.92;15.84;10.89;7.05;11.77;10.24
2019-03-07;35.42;21.73;17.74;5.96;12.16;19.71;11.21;12.81;20.23
2019-03-08;14.52;11.1;11.27;5.97;9.71;14.62;10.77;10.49;11.0
2019-03-09;13.6;10.05;7.93;6.0;8.7;10.95;16.77;8.38;9.59
2019-03-10;20.64;9.3;6.56;6.03;7.95;9.77;7.52;7.36;8.66
2019-03-11;23.12;17.34;10.79;6.05;7.25;15.4;5.36;6.3;10.48
2019-03-12;16.82;12.84;10.86;6.07;10.07;13.07;10.81;11.49;12.26
2019-03-13;22.95;11.49;10.33;6.09;6.81;10.95;8.53;7.6;9.44
2019-03-14;11.49;8.67;9.01;6.1;7.78;10.53;7.05;8.85;9.74
2019-03-15;27.99;20.73;21.95;6.11;10.08;33.92;9.66;11.67;20.0
2019-03-16;22.38;24.15;31.74;6.12;8.73;28.63;9.74;12.36;23.21
2019-03-17;13.05;11.25;7.88;6.15;10.07;10.49;7.89;8.49;10.88
2019-03-18;12.53;10.72;7.34;6.22;9.6;8.23;6.36;7.45;9.48
2019-03-19;15.49;10.77;7.86;6.25;7.75;11.51;6.92;8.57;9.47
2019-03-20;15.7;12.29;8.74;6.27;9.05;13.81;7.6;9.38;11.34
2019-03-21;23.08;14.86;13.84;6.27;10.4;20.75;10.07;10.82;16.81
2019-03-22;22.79;19.03;23.53;6.27;9.6;29.79;11.82;10.84;21.85
2019-03-23;24.66;15.67;12.52;6.3;13.3;14.37;11.23;13.62;13.88
2019-03-24;32.95;29.4;26.64;6.33;30.99;27.14;16.23;20.6;26.64
2019-03-25;23.99;17.81;14.67;6.33;21.27;14.15;10.37;15.79;16.85
2019-03-26;33.03;19.73;21.47;6.34;21.78;30.75;12.67;18.56;24.32
2019-03-27;27.23;17.6;17.1;6.37;21.29;33.23;19.64;17.19;35.66
2019-03-28;18.85;15.22;22.0;6.38;15.37;24.36;12.52;12.16;26.55
2019-03-29;17.44;16.41;17.21;6.42;19.36;21.52;9.1;16.33;18.23
2019-03-30;14.37;12.51;18.15;6.43;19.63;18.67;14.93;23.93;26.7
2019-03-31;18.97;13.45;17.939999999999998;6.44;15.48;13.93;7.51;21.66;10.56
2019-04-01;28.96;18.32;17.729999999999997;6.45;10.49;23.3;10.03;19.39;11.09
2019-04-02;16.29;17.23;17.519999999999996;6.45;7.77;19.59;8.59;17.12;11.62
2019-04-03;12.19;8.21;17.309999999999995;6.47;5.62;6.71;4.12;14.850000000000001;7.78
2019-04-04;24.79;15.22;17.1;6.48;25.51;15.92;5.68;12.56;20.25
2019-04-05;18.75;15.3;25.7;6.49;25.08;25.27;18.89;15.27;31.41
2019-04-06;27.11;21.96;40.04;6.51;34.81;28.84;8.88;23.14;31.32
2019-04-07;16.6;11.81;14.63;6.52;17.45;20.22;7.85;9.08;23.32
2019-04-08;17.14;12.96;8.0;6.53;7.49;8.38;5.58;7.16;9.34
2019-04-09;27.14;21.67;19.07;6.53;9.9;21.75;8.05;9.7;19.67
2019-04-10;36.38;15.34;12.29;6.55;14.34;19.63;7.9;9.89;27.07
2019-04-11;11.63;9.59;4.64;6.58;5.3;9.77;4.59;5.96;6.99
